Then once more out of the blue he said quietly, ‘ Are you elect?’	0 0 0 1 1 0 1 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADV ADV ADV ADP ADP DET NOUN PRON VERB ADV PUNCT VERB PRON ADJ	▁Then ▁once ▁more ▁out ▁of ▁the ▁blue ▁he ▁said ▁quiet ly , ▁ ‘ ▁Are ▁you ▁elect ? ’	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV ADP ADP DET NOUN PRON VERB ADV ADV ADV PUNCT PUNCT VERB PRON ADJ ADJ ADJ
A few weeks earlier he had phoned me out of the blue — I think he was checking to see how many of his cronies were still alive!	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	DET ADJ NOUN ADV PRON VERB VERB PRON ADP ADP DET ADJ PUNCT PRON VERB PRON VERB VERB PART VERB ADV ADJ ADP ADJ NOUN VERB ADV ADJ	▁A ▁few ▁weeks ▁earlier ▁he ▁had ▁phone d ▁me ▁out ▁of ▁the ▁blue ▁ — ▁I ▁think ▁he ▁was ▁checking ▁to ▁see ▁how ▁many ▁of ▁his ▁cro nie s ▁were ▁still ▁alive !	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN ADV PRON VERB VERB VERB PRON ADP ADP DET ADJ PUNCT PUNCT PRON VERB PRON VERB VERB PART VERB ADV ADJ ADP ADJ NOUN NOUN NOUN VERB ADV ADJ ADJ
Don Adamson received a letter out of the blue from an Australian trying to trace an old army buddy also called Don Adamson.	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	PROPN PROPN VERB DET NOUN ADP ADP DET NOUN ADP DET PROPN VERB PART VERB DET ADJ NOUN NOUN ADV VERB PROPN PROPN	▁Don ▁Adam son ▁received ▁a ▁letter ▁out ▁of ▁the ▁blue ▁from ▁an ▁Australia n ▁trying ▁to ▁trace ▁an ▁old ▁army ▁bud dy ▁also ▁called ▁Don ▁Adam son .	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN VERB DET NOUN ADP ADP DET NOUN ADP DET PROPN PROPN VERB PART VERB DET ADJ NOUN NOUN NOUN ADV VERB PROPN PROPN PROPN PROPN
‘ Hartlepool's offer came out of the blue.	0 0 0 0 1 1 0 1	out of the blue	figurative	identical	PUNCT PROPN NOUN VERB ADP ADP DET NOUN	▁ ‘ ▁Har tle pool ' s ▁offer ▁came ▁out ▁of ▁the ▁blue .	0 0 0 0 0 0 0 0 0 1 1 0 1 1	PUNCT PUNCT PROPN PROPN PROPN PROPN PROPN NOUN VERB ADP ADP DET NOUN NOUN
Good ideas rarely come out of the blue ; search carefully and you will often find that someone else has anticipated your inspiration or at least, thought of something similar to it.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADJ NOUN ADV VERB ADP ADP DET ADJ PUNCT VERB ADV CCONJ PRON VERB ADV VERB ADP NOUN ADV VERB VERB ADJ NOUN CCONJ ADP ADJ VERB ADP NOUN ADJ ADP PRON	▁Good ▁ideas ▁rarely ▁come ▁out ▁of ▁the ▁blue ▁ ; ▁search ▁carefully ▁and ▁you ▁will ▁often ▁find ▁that ▁someone ▁else ▁has ▁anticipated ▁your ▁inspiration ▁or ▁at ▁least , ▁thought ▁of ▁something ▁similar ▁to ▁it .	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN ADV VERB ADP ADP DET ADJ PUNCT PUNCT VERB ADV CCONJ PRON VERB ADV VERB ADP NOUN ADV VERB VERB ADJ NOUN CCONJ ADP ADJ ADJ VERB ADP NOUN ADJ ADP PRON PRON
She had already heard the answer from Aunt Bertha, but here was the out - of - the - blue opportunity to hear it from Silas.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0	out of the blue	figurative	dashes	PRON VERB ADV VERB DET NOUN ADP PROPN PROPN CCONJ ADV VERB DET ADJ PUNCT ADP PUNCT DET PUNCT ADJ NOUN PART VERB PRON ADP PROPN	▁She ▁had ▁already ▁heard ▁the ▁answer ▁from ▁A unt ▁Berth a , ▁but ▁here ▁was ▁the ▁out ▁- ▁of ▁- ▁the ▁- ▁blue ▁opportunity ▁to ▁hear ▁it ▁from ▁Sila s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0	PRON VERB ADV VERB DET NOUN ADP PROPN PROPN PROPN PROPN PROPN CCONJ ADV VERB DET ADJ PUNCT ADP PUNCT DET PUNCT ADJ NOUN PART VERB PRON ADP PROPN PROPN PROPN
‘ I have got a very good deal, and it came virtually out of the blue,’ said the Doncaster - based rider, who until last week thought his future lay with a new team being planned in Belgium.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	dashes	PUNCT PRON VERB VERB DET ADV ADJ NOUN CCONJ PRON VERB ADV ADP ADP DET NOUN VERB DET PROPN PUNCT VERB NOUN NOUN ADP ADJ NOUN VERB ADJ NOUN VERB ADP DET ADJ NOUN VERB VERB ADP PROPN	▁ ‘ ▁I ▁have ▁got ▁a ▁very ▁good ▁deal , ▁and ▁it ▁came ▁virtual ly ▁out ▁of ▁the ▁blue , ’ ▁said ▁the ▁Don c aster ▁- ▁based ▁rid er , ▁who ▁until ▁last ▁week ▁thought ▁his ▁future ▁lay ▁with ▁a ▁new ▁team ▁being ▁planned ▁in ▁Belgium .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB DET ADV ADJ NOUN NOUN CCONJ PRON VERB ADV ADV ADP ADP DET NOUN NOUN NOUN VERB DET PROPN PROPN PROPN PUNCT VERB NOUN NOUN NOUN NOUN ADP ADJ NOUN VERB ADJ NOUN VERB ADP DET ADJ NOUN VERB VERB ADP PROPN PROPN
It was a bolt out of the blue when Alan resigned.	0 0 0 0 1 1 0 1 0 0 0	out of the blue	figurative	identical	PRON VERB DET NOUN ADP ADP DET ADJ ADV PROPN VERB	▁It ▁was ▁a ▁bolt ▁out ▁of ▁the ▁blue ▁when ▁A lan ▁resigned .	0 0 0 0 1 1 0 1 0 0 0 0 0	PRON VERB DET NOUN ADP ADP DET ADJ ADV PROPN PROPN VERB VERB
We keep ourselves to ourselves, Joan and I. There was a frightful nosy American in the summer who just turned up out of the blue and told us how honoured we must be, having the old bat's relics up here.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	PRON VERB PRON ADP PRON PROPN CCONJ PROPN ADV VERB DET ADJ ADJ PROPN ADP DET NOUN NOUN ADV VERB PART ADP ADP DET ADJ CCONJ VERB PRON ADV VERB PRON VERB VERB VERB DET ADJ NOUN NOUN PART ADV	▁We ▁keep ▁ourselves ▁to ▁ourselves , ▁Jo an ▁and ▁I . ▁There ▁was ▁a ▁f right ful ▁no sy ▁American ▁in ▁the ▁summer ▁who ▁just ▁turned ▁up ▁out ▁of ▁the ▁blue ▁and ▁told ▁us ▁how ▁honoured ▁we ▁must ▁be , ▁having ▁the ▁old ▁bat ' s ▁reli cs ▁up ▁here .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PRON ADP PRON PRON PROPN PROPN CCONJ PROPN PROPN ADV VERB DET ADJ ADJ ADJ ADJ ADJ PROPN ADP DET NOUN NOUN ADV VERB PART ADP ADP DET ADJ CCONJ VERB PRON ADV VERB PRON VERB VERB VERB VERB DET ADJ NOUN NOUN NOUN NOUN NOUN PART ADV ADV
People may then describe symptoms starting ‘ out of the blue’.	0 0 0 0 0 0 0 1 1 0 1	out of the blue	figurative	dashes	NOUN VERB ADV VERB NOUN VERB PRON ADP ADP DET NOUN	▁People ▁may ▁then ▁describe ▁symptoms ▁starting ▁ ‘ ▁out ▁of ▁the ▁blue ’ .	0 0 0 0 0 0 0 0 1 1 0 1 1 1	NOUN VERB ADV VERB NOUN VERB PRON PRON ADP ADP DET NOUN NOUN NOUN
Right out of the blue.	0 1 1 0 1	out of the blue	figurative	identical	ADV ADP ADP DET NOUN	▁Right ▁out ▁of ▁the ▁blue .	0 1 1 0 1 1	ADV ADP ADP DET NOUN NOUN
We were still in the Air Force, postings could come out of the blue at any time, so every hour we could spend together was important.	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	PRON VERB ADV ADP DET PROPN PROPN NOUN VERB VERB ADP ADP DET NOUN ADP DET NOUN CCONJ DET NOUN PRON VERB VERB ADV VERB ADJ	▁We ▁were ▁still ▁in ▁the ▁Air ▁Force , ▁posting s ▁could ▁come ▁out ▁of ▁the ▁blue ▁at ▁any ▁time , ▁so ▁every ▁hour ▁we ▁could ▁spend ▁together ▁was ▁important .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADV ADP DET PROPN PROPN PROPN NOUN NOUN VERB VERB ADP ADP DET NOUN ADP DET NOUN NOUN CCONJ DET NOUN PRON VERB VERB ADV VERB ADJ ADJ
It must have been a shock, her turning up out of the blue like that.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	out of the blue	figurative	identical	PRON VERB VERB VERB DET NOUN ADJ VERB PART ADP ADP DET NOUN ADP DET	▁It ▁must ▁have ▁been ▁a ▁shock , ▁her ▁turning ▁up ▁out ▁of ▁the ▁blue ▁like ▁that .	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	PRON VERB VERB VERB DET NOUN NOUN ADJ VERB PART ADP ADP DET NOUN ADP DET DET
‘ Because he arrived out of the blue and did his Sir Galahad act by getting me away from the men.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	PUNCT ADP PRON VERB ADP ADP DET ADJ CCONJ VERB ADJ PROPN PROPN NOUN ADP VERB PRON ADV ADP DET NOUN	▁ ‘ ▁Because ▁he ▁arrived ▁out ▁of ▁the ▁blue ▁and ▁did ▁his ▁Sir ▁Gal a had ▁act ▁by ▁gett ing ▁me ▁away ▁from ▁the ▁men .	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT ADP PRON VERB ADP ADP DET ADJ CCONJ VERB ADJ PROPN PROPN PROPN PROPN NOUN ADP VERB VERB PRON ADV ADP DET NOUN NOUN
We 'd been discussing something else, and I said it out of the blue, but in my mind it was as if we 'd just been talking about Oliver, and the way she answered, as if she thought we 'd just been talking about Oliver too and there wasn't any break in that conversation even though we 'd been through lots of different subjects in the meantime, made me feel very cheerful.	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	PRON VERB VERB VERB NOUN ADV CCONJ PRON VERB PRON ADP ADP DET ADJ CCONJ ADP ADJ NOUN PRON VERB ADP ADP PRON VERB ADV VERB VERB ADP PROPN CCONJ DET NOUN PRON VERB ADP ADP PRON VERB PRON VERB ADV VERB VERB ADP PROPN ADV CCONJ ADV VERB DET NOUN ADP DET NOUN ADV ADP PRON VERB VERB ADP NOUN ADP ADJ NOUN ADP DET NOUN VERB PRON VERB ADV ADJ	▁We ▁' d ▁been ▁discussing ▁something ▁else , ▁and ▁I ▁said ▁it ▁out ▁of ▁the ▁blue , ▁but ▁in ▁my ▁mind ▁it ▁was ▁as ▁if ▁we ▁' d ▁just ▁been ▁talking ▁about ▁Olive r , ▁and ▁the ▁way ▁she ▁answered , ▁as ▁if ▁she ▁thought ▁we ▁' d ▁just ▁been ▁talking ▁about ▁Olive r ▁too ▁and ▁there ▁was n ' t ▁any ▁break ▁in ▁that ▁conversation ▁even ▁though ▁we ▁' d ▁been ▁through ▁lots ▁of ▁different ▁subjects ▁in ▁the ▁meantime , ▁made ▁me ▁feel ▁very ▁che er ful .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB VERB NOUN ADV ADV CCONJ PRON VERB PRON ADP ADP DET ADJ ADJ CCONJ ADP ADJ NOUN PRON VERB ADP ADP PRON VERB VERB ADV VERB VERB ADP PROPN PROPN PROPN CCONJ DET NOUN PRON VERB VERB ADP ADP PRON VERB PRON VERB VERB ADV VERB VERB ADP PROPN PROPN ADV CCONJ ADV VERB VERB VERB VERB DET NOUN ADP DET NOUN ADV ADP PRON VERB VERB VERB ADP NOUN ADP ADJ NOUN ADP DET NOUN NOUN VERB PRON VERB ADV ADJ ADJ ADJ ADJ
Then, when Ollie reached about 18 months of age, out of the blue, they had their first serious fight.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	out of the blue	figurative	identical	ADV ADV PROPN VERB ADV NUM NOUN ADP NOUN ADP ADP DET ADJ PRON VERB ADJ ADJ ADJ NOUN	▁Then , ▁when ▁Ol lie ▁reached ▁about ▁18 ▁months ▁of ▁age , ▁out ▁of ▁the ▁blue , ▁they ▁had ▁their ▁first ▁serious ▁fight .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0	ADV ADV ADV PROPN PROPN VERB ADV NUM NOUN ADP NOUN NOUN ADP ADP DET ADJ ADJ PRON VERB ADJ ADJ ADJ NOUN NOUN
Out of the blue came invitations from well - known actresses begging the aces to spend their next leave in Paris with them ; eulogizing sonnets and adoring letters ( Germany's Oswald Boelcke received an average of twenty - thirty a day ) poured in.	1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	case	ADP ADP DET ADJ VERB NOUN ADP ADV PUNCT VERB NOUN VERB DET NOUN PART VERB ADJ ADJ NOUN ADP PROPN ADP PRON PUNCT VERB NOUN CCONJ VERB NOUN PUNCT PROPN PROPN PROPN VERB DET NOUN ADP NUM PUNCT NUM DET NOUN PUNCT VERB PART	▁Out ▁of ▁the ▁blue ▁came ▁invitations ▁from ▁well ▁- ▁known ▁ac tresses ▁be gg ing ▁the ▁a ces ▁to ▁spend ▁their ▁next ▁leave ▁in ▁Paris ▁with ▁them ▁ ; ▁eu log izing ▁son net s ▁and ▁ad or ing ▁letters ▁( ▁Germany ' s ▁Os wal d ▁Bo el cke ▁received ▁an ▁average ▁of ▁twenty ▁- ▁thirty ▁a ▁day ▁ ) ▁poured ▁in .	1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADP DET ADJ VERB NOUN ADP ADV PUNCT VERB NOUN NOUN VERB VERB VERB DET NOUN NOUN PART VERB ADJ ADJ NOUN ADP PROPN ADP PRON PUNCT PUNCT VERB VERB VERB NOUN NOUN NOUN CCONJ VERB VERB VERB NOUN PUNCT PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB DET NOUN ADP NUM PUNCT NUM DET NOUN PUNCT PUNCT VERB PART PART
We were able to do the hall or we 'd still be nowhere with it, only because of a donation of thirty thousand pounds quite out of the blue, from the London Glassworkers ' Company which meant we didn't expect it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	PRON VERB ADJ PART VERB DET NOUN CCONJ PRON VERB ADV VERB ADV ADP PRON ADV ADP ADP DET NOUN ADP NUM NUM NOUN ADV ADP ADP DET ADJ ADP DET PROPN PROPN PART PROPN ADJ VERB PRON VERB VERB PRON	▁We ▁were ▁able ▁to ▁do ▁the ▁hall ▁or ▁we ▁' d ▁still ▁be ▁nowhere ▁with ▁it , ▁only ▁because ▁of ▁a ▁donation ▁of ▁thirty ▁thousand ▁pounds ▁quite ▁out ▁of ▁the ▁blue , ▁from ▁the ▁London ▁Glass workers ▁' ▁Company ▁which ▁meant ▁we ▁did n ' t ▁expect ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADJ PART VERB DET NOUN CCONJ PRON VERB VERB ADV VERB ADV ADP PRON PRON ADV ADP ADP DET NOUN ADP NUM NUM NOUN ADV ADP ADP DET ADJ ADJ ADP DET PROPN PROPN PROPN PART PROPN ADJ VERB PRON VERB VERB VERB VERB VERB PRON PRON
Then out of the blue, out of the real true blue, the Messiah with a droop moustache did a runner.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADV ADP ADP DET ADJ ADP ADP DET ADJ ADJ NOUN DET PROPN ADP DET NOUN NOUN VERB DET NOUN	▁Then ▁out ▁of ▁the ▁blue , ▁out ▁of ▁the ▁real ▁true ▁blue , ▁the ▁Mess iah ▁with ▁a ▁ dro op ▁mo ust ache ▁did ▁a ▁ runner .	0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADP ADP DET ADJ ADJ ADP ADP DET ADJ ADJ NOUN NOUN DET PROPN PROPN ADP DET NOUN NOUN NOUN NOUN NOUN NOUN VERB DET NOUN NOUN NOUN
Then, out of the blue, at a business meeting you had a ‘ panic attack’, characterized by hyperventilation and palpitations.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADV ADP ADP DET ADJ ADP DET NOUN NOUN PRON VERB DET ADJ NOUN NOUN VERB ADP NOUN CCONJ NOUN	▁Then , ▁out ▁of ▁the ▁blue , ▁at ▁a ▁business ▁meeting ▁you ▁had ▁a ▁ ‘ ▁pan ic ▁attack ’ , ▁characterized ▁by ▁hyper vent il ation ▁and ▁palpitati ons .	0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADP ADP DET ADJ ADJ ADP DET NOUN NOUN PRON VERB DET ADJ ADJ NOUN NOUN NOUN NOUN NOUN VERB ADP NOUN NOUN NOUN NOUN CCONJ NOUN NOUN NOUN
Then out of the blue, the radio station sacked them.	0 1 1 0 1 0 0 0 0 0	out of the blue	figurative	identical	ADV ADP ADP DET ADJ DET NOUN NOUN VERB PRON	▁Then ▁out ▁of ▁the ▁blue , ▁the ▁radio ▁station ▁sack ed ▁them .	0 1 1 0 1 1 0 0 0 0 0 0 0	ADV ADP ADP DET ADJ ADJ DET NOUN NOUN VERB VERB PRON PRON
Erm any suggestion that erm the figures that we 're putting before this E I P have appeared out of the blue, er we would wish to er refute quite categorically.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADV DET NOUN ADP ADV DET NOUN ADJ PRON VERB VERB ADV DET NOUN PRON NOUN VERB VERB ADP ADP DET ADJ INTJ PRON VERB VERB ADP INTJ VERB ADV ADV	▁E rm ▁any ▁suggestion ▁that ▁er m ▁the ▁figures ▁that ▁we ▁' re ▁putting ▁before ▁this ▁E ▁I ▁P ▁have ▁appeared ▁out ▁of ▁the ▁blue , ▁er ▁we ▁would ▁wish ▁to ▁er ▁refute ▁quite ▁categorical ly .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	ADV ADV DET NOUN ADP ADV ADV DET NOUN ADJ PRON VERB VERB VERB ADV DET NOUN PRON NOUN VERB VERB ADP ADP DET ADJ ADJ INTJ PRON VERB VERB ADP INTJ VERB ADV ADV ADV ADV
Out of the blue he said : ' I only wish she could still be alive to enjoy it.	1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	case	ADP ADP DET NOUN PRON VERB PUNCT PUNCT PRON ADV VERB PRON VERB ADV VERB ADJ PART VERB PRON	▁Out ▁of ▁the ▁blue ▁he ▁said ▁ : ▁' ▁I ▁only ▁wish ▁she ▁could ▁still ▁be ▁alive ▁to ▁enjoy ▁it .	1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADP DET NOUN PRON VERB PUNCT PUNCT PUNCT PRON ADV VERB PRON VERB ADV VERB ADJ PART VERB PRON PRON
When a thunderstorm suddenly came out of the blue, she jumped abruptly out of the hammock and ran headlong into the house where she stopped short, remembering suddenly that she had no lightning rod, and because she realized at once that this sudden onrush of a thunderstorm could end her life before she could say Jack ~ Robinson, she became sore afraid.	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADV DET NOUN ADV VERB ADP ADP DET ADJ PRON VERB ADV ADP ADP DET NOUN CCONJ VERB ADV ADP DET NOUN ADV PRON VERB ADJ VERB ADV ADP PRON VERB DET NOUN NOUN CCONJ ADP PRON VERB ADP ADV ADP DET ADJ ADJ ADP DET NOUN VERB VERB ADJ NOUN ADP PRON VERB VERB PROPN PUNCT PROPN PRON VERB ADV ADJ	▁When ▁a ▁th under s tor m ▁suddenly ▁came ▁out ▁of ▁the ▁blue , ▁she ▁jump ed ▁abrupt ly ▁out ▁of ▁the ▁ham m ock ▁and ▁ran ▁head long ▁into ▁the ▁house ▁where ▁she ▁stopped ▁short , ▁remember ing ▁suddenly ▁that ▁she ▁had ▁no ▁light ning ▁rod , ▁and ▁because ▁she ▁realized ▁at ▁once ▁that ▁this ▁sudden ▁on rus h ▁of ▁a ▁th under s tor m ▁could ▁end ▁her ▁life ▁before ▁she ▁could ▁say ▁Jack ▁ ~ ▁Ro bin son , ▁she ▁became ▁sore ▁afraid .	0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV DET NOUN NOUN NOUN NOUN NOUN ADV VERB ADP ADP DET ADJ ADJ PRON VERB VERB ADV ADV ADP ADP DET NOUN NOUN NOUN CCONJ VERB ADV ADV ADP DET NOUN ADV PRON VERB ADJ ADJ VERB VERB ADV ADP PRON VERB DET NOUN NOUN NOUN NOUN CCONJ ADP PRON VERB ADP ADV ADP DET ADJ ADJ ADJ ADJ ADP DET NOUN NOUN NOUN NOUN NOUN VERB VERB ADJ NOUN ADP PRON VERB VERB PROPN PUNCT PUNCT PROPN PROPN PROPN PROPN PRON VERB ADV ADJ ADJ
Just out of the blue.	0 1 1 0 1	out of the blue	figurative	identical	ADV ADP ADP DET NOUN	▁Just ▁out ▁of ▁the ▁blue .	0 1 1 0 1 1	ADV ADP ADP DET NOUN NOUN
Then suddenly, right out of the blue, it had gone straight down the drain.	0 0 0 1 1 0 1 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADV ADV ADV ADP ADP DET ADJ PRON VERB VERB ADV ADP DET NOUN	▁Then ▁suddenly , ▁right ▁out ▁of ▁the ▁blue , ▁it ▁had ▁gone ▁straight ▁down ▁the ▁drain .	0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0	ADV ADV ADV ADV ADP ADP DET ADJ ADJ PRON VERB VERB ADV ADP DET NOUN NOUN
‘ Ah, Rodion Romanovich,’ he says completely out of the blue, ‘ what every man needs is air, air, air!	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	PUNCT INTJ NOUN PROPN PRON VERB ADV ADP ADP DET ADJ PUNCT NOUN DET NOUN VERB VERB NOUN NOUN NOUN	▁ ‘ ▁A h , ▁Ro d ion ▁Roman ovich , ’ ▁he ▁says ▁completely ▁out ▁of ▁the ▁blue , ▁ ‘ ▁what ▁every ▁man ▁needs ▁is ▁air , ▁air , ▁air !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT INTJ INTJ INTJ NOUN NOUN NOUN PROPN PROPN PROPN PROPN PRON VERB ADV ADP ADP DET ADJ ADJ PUNCT PUNCT NOUN DET NOUN VERB VERB NOUN NOUN NOUN NOUN NOUN NOUN
They fall unexpectedly from out of the blue.’	0 0 0 0 1 1 0 1	out of the blue	figurative	dashes	PRON VERB ADV ADP ADP ADP DET NOUN	▁They ▁fall ▁unexpected ly ▁from ▁out ▁of ▁the ▁blue . ’	0 0 0 0 0 1 1 0 1 1 1	PRON VERB ADV ADV ADP ADP ADP DET NOUN NOUN NOUN
